,year,author,title,journal,keyword,keyplus,abstract,core_count,cited_count,area
0,2007,"Han, KS",The possibilities and limitations of gifted education in Korea: A look at the ISEP science-gifted education center,ASIA PACIFIC EDUCATION REVIEW,gifted education in Korea; science gifted education center; differentiated learning experience,ATTITUDES,"Education for gifted children is currently one of the hottest educational issues in Korea. Much money and effort arebeing invested in this area of education. Recent announcements by the Korean Ministry of Education state that all children should be educated to the level of which they are capable, and the current program for gifted students should be and will be extended. However, there is little attention paid to the actual substance of gifted education in Korea. What is happening in the name of gifted education? What is the meaning of giftedness and gifted education? How and in what respects can the gifted program be differentiated from general programs? What are the problems and concerns in serving gifted students? What are the effects of gifted programs? These are the main questions of the present qualitative study. For the purposes of this ethnographic study, the ISEP science gifted education center in Korea was observed for a six-month period, and 10 professors and 50 students at the ISEP were interviewed in depth. The results of the study are as follows. First of all. the ISEP science gifted education center provides differentiated learning environments and teaching methods. Second, through these differentiated learning experiences, students improve their thinking skills and creative problem solving abilities, as well as developing positive self-esteem. In addition, the formation of human net works, the special meaning of the 'gifted' label, and the acquisition of personal knowledge were seen to be some of the major educative possibilities on offer at the ISEP gifted education center. However, some professors' low levels of motivation, the absence of individualized educational plans, bureaucratic management, weak student commitment to set tasks, and a lack of opportunity for students' social activities were clearly limitations of the ISEP gifted education center. The results of this study will contribute to, specifically, the search for new ideas to improve the operation of gifted education as well as helping to surmount the hidden problems lurking beneath the surface of the current gifted education practices in Korea, and, more generally, to enhance our understanding of the diverse gifted educational practices in operation worldwide.",5,5,Education & Educational Research
1,2009,"Karakuyu, Y",Gifted students' opinion about physics education in science and art centers,SCIENTIFIC RESEARCH AND ESSAYS,Gifted student; physics education; science art centers,TEACH,The aim of this study was to investigate the gifted students' opinion about physics education in the Science and Art Centers. This study has been conducted for three years on 178 different students who got their education in the Aydin Dogan Science and Art Centre. Gifted Students' Opinions toward Physics Education Inventory was applied to gifted students' in Science and Art Center. The results of the study indicated that gifted students thought that physical environment and activities related to physics education was inadequate.,0,0,Science & Technology - Other Topics
2,2018,"Torkar, G; Avsec, S; Cepic, M; Savec, VF; Jurisevic, M",Science and Technology Education in Slovenian Compulsory Basic School: Possibilities for Gifted Education,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,curriculum; elementary school; gifted; qualitative research; science; teacher training; technology,STUDENTS,"The article presents an analytical overview of the science and technology curriculum from the viewpoint of the inclusive approach adopted toward gifted education in Slovenian basic education. The main research question concerns how the current curriculum fits the learning needs of gifted students. For the purposes of the study, 16 compulsory and elective syllabi of science and technology school subjects were identified and qualitatively analyzed, and the role of activity days was examined within the target framework. The results show a rather weak operationalization of recommendations for gifted education in defined learning objectives and standards in the syllabi. Moreover, it was found that elective school subjects in science and technology are poorly represented in students' overall selection of elective school subjects. In addition, activity days offer numerous possibilities for the implementation of the general recommendations for teaching the gifted.",4,5,Education & Educational Research
3,2021,"Kim, T; Kwak, Y; Park, WM",Comparison on Positive Experiences about Science between Gifted and General Students in Middle School,JOURNAL OF THE KOREAN EARTH SCIENCE SOCIETY,Positive Experiences about Science (PES); science gifted education; science gifted classes; science gifted students,,"In this study, we investigated the difference in the affective characteristics between science-gifted students and general students through the positive experiences about science (PES) index. We also explored ways to apply the characteristics of gifted classes suggeseted by the teachers of this study, which had a positive effect on science-gifted students, to general science classes. For this study, a PES survey was carried on middle school science-gifted students enrolled in the gifted education center in the central region and general middle school students in the same area who had no experience in gifted education. Based on the survey result, we conducted in-depth interviews with teachers, having teaching experience with both science-gifted and general students. The results revealed that science-gifted students showed a significantly higher PES index than general students in all five areas of PES. The area with the largest difference between the two groups was science-related self-concept and the smallest was science academic emotion. Teachers suggested ways to apply the characteristics of science-gifted classes to general science classes, such as organizing general science classes around inquiry activities, supporting class materials such as MBL or tablets, reconstructing the classes using materials reflecting students' needs, and changing the textbook content and narrative style, to induce students' interest and curiosity. Based on the study results, ways to enhance the PES through science classes for general students were proposed.",0,0,Geology
4,2017,"Alkan, I; Ertekin, P",AN INVESTIGATION OF SECONDARY SCHOOL GIFTED STUDENTS' ATTITUDES TOWARDS SCIENCE,ADVED 2017: 3RD INTERNATIONAL CONFERENCE ON ADVANCES IN EDUCATION AND SOCIAL SCIENCE,Gifted students; attitude; science education,,"This study aims to investigate the gifted secondary school students' attitudes towards science in terms of gender, school type, class level, number of siblings and education level of their families. The sample of the study consists of 90 secondary school students (5th, 6th, 7th and 8th grade) studying in Malatya BILSEM in 2016-2017 academic year. As data collection tool, the Attitude Towards Science Scale (TOSRA) was used. It consists 40 items and was developed by Fraser (1981) and adapted to Turkish language and culture by Telli, Cakiroglu and Rakici (2003) with 9th and 10th grade students. In this study, the validity and the reliability studies of the scale were done due to the fact that the sample of the study is gifted secondary school students. As a result of the validity and reliability analysis seven-factor structure consisting of 29 items was obtained. While all 29 items in the model explained 69.7 % of the variance, the reliability coefficient of Cronbach Alpha was determined as.94. Because of that the violation of normal distribution assumptions, non-parametric tests of Mann-Whitney U and Kruskal Wallis H were used. When the results are examined, gifted secondary school students' attitudes towards science do not differ significantly in terms of gender (U=897.50, p=.36>.05), school type (U=945.50, p=.82>.05), number of siblings (X2=1.613, p=.446>.05), and education level of the family (mother: X2=6.958, p=.22>.05; father: X2=5.919, p=.31>.05). On the other hand it was observed that their attitudes towards science differ significantly in terms of class level (X2=32.691, p=.00<.05).",0,0,Social Sciences - Other Topics
5,2022,"Antoun, M; Plunkett, M; Kronborg, L",Gifted Education in Lebanon: Time to Rethink Teaching the Gifted,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,culture; gifted; gifted and talented education; Lebanon; teacher practices,CLASSROOM TEACHERS; STUDENTS; LEARNERS; DIFFERENTIATION; PROGRAMS; PERCEPTIONS; ATTITUDES,"Lebanon is a country that places a high value on education, with the culture specifically rewarding effort and achievement. Despite this, no educational policies for gifted students exist in the country. This article outlines findings from a mixed method case study investigating the perceptions of more than 280 Lebanese teachers about educational approaches used to identify and teach highly able/gifted primary school students. Findings acknowledge reservations among teacher participants in relation to offering special services for gifted students. Although the analysis illustrated an overall lack of awareness of practices that have been identified in international research as effective for identifying and providing for gifted students, there was ample evidence of the desire of teacher participants to become more informed about evidence-based practice. This suggests the time is ripe for a revised focus on gifted education in Teacher Education within Lebanon.",3,3,Education & Educational Research
6,2019,"Jurisevic, M; Zerak, U",Attitudes Towards Gifted Students and Their Education in the Slovenian Context,PSYCHOLOGY IN RUSSIA-STATE OF THE ART,attitudes; gifted education; gifted students; teachers; parents,TEACHERS ATTITUDES; PREDICTORS,"Background. Cultivation of positive attitudes towards gifted education is important to ensure that gifted students receive educational opportunities appropriate to their learning needs. Objective. To examine the attitudes of students, parents, and teachers towards gifted education in the Slovenian upper secondary schools. Design. A total of 1,020 students from four sdective co-educational upper secondary schools (i.e., gymnasiums), their teachers (n=84), and parents (n = 3 0 6) participated in the study. Respondents' attitudes were assessed using an adapted version of the Gagne and Nadeau attitude survey about gifted students and their education. In order to obtain a deeper insight into the context, an open question about gifted education was also posed. Results. Participants generally hold neutral to positive attitudes towards gifted education. They expressed their awareness of gifted students' special academic needs and the meaningfulness of specific educational support. Furthermore, 68% of participating students emphasized the need for relatedness to their peers (i.e., not to stand out or be labelled), often neglected in provisions for the gifted. Comparative analysis showed that attitudes towards the extent of knowledge and experience in the field differed among the groups of participants. Conclusion. Qualitative analysis complemented the quantitative findings by addressing the principle of challenging instead of the principle of adding, suggesting that the focus should be primarily on adapting the curricula and, out of consideration for their social and emotional needs in adolescence, not on overloading gifted students.",3,3,Psychology
7,2017,"Ziegler, A; Stoeger, H",Systemic Gifted Education: A Theoretical Introduction,GIFTED CHILD QUARTERLY,systemic gifted education; actiotope; educational capital; learning capital,,"Over the past few decades, systemic thinking has gained in popularity in developmental and learning sciences. The trend has, however, shown up in gifted education research only occasionally. The aim of this article is to introduce systemic thinking to the field of giftedness and explore possibilities for its application. In the first part, a definition of a system is provided and basic concepts of systemic thinking are introduced. In the second part, a full-fledged systemic model is introduced, the actiotope model of giftedness. In the third part, implications for gifted education are elaborated. In the discussion, the authors explain (a) how systemic thinking can make a valuable contribution to gifted education, (b) why systemic thinking will complement rather than replace current approaches to gifted education, and (c) the necessity of combining systemic thinking with other empirically testable theories.",20,21,Education & Educational Research; Psychology
8,2021,"Nacaroglu, O; Bektas, O; Tuysuz, M",EXAMINATION OF SCIENCE SELF-REGULATION SKILLS OF GIFTED AND NON-GIFTED STUDENTS,JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE,Science; self-regulation; gifted students; non-gifted students; survey,GENDER-DIFFERENCES; PERFORMANCE; ORIENTATION; STRATEGIES; TEACHERS,"The study aimed to examine and compare the science self-regulation skills of gifted and non-gifted students in this study. Survey design, one of the quantitative methods, was utilized in the research. The sample of the study consisted of 263 gifted students enrolled in science and art center and 482 non-gifted students located in the Eastern Anatolia Region of Turkey. Science Self-regulation Scale was used as a data collection tool in the research. Independent samples t-test and one-way analysis of variance were used in the analysis of the data. The findings showed that gifted and non-gifted students had high self-regulation skills towards science. In addition, it was found that although there was no statistically significant difference between the average scores of gifted female and male students on the overall scale, there was a significant difference in the other group. Moreover, while the difference between the mean scores obtained in the dimensions of Refinement, Time Organizing, Organizing, Help Seeking, Metacognitive Self-regulation, and Repetition was in favor of gifted students, it was in favor of non-gifted students regarding the mean scores of critical thinking and effort regulation dimensions. The conclusion and implication were discussed in line with these findings.",1,1,Education & Educational Research
9,2022,"Antoun, M",Framing the education for gifted Lebanese and gifted refugees in Lebanon,FRONTIERS IN PSYCHOLOGY,conceptions; professional learning; gifted refugees; identification; model; gifted education,UNDERREPRESENTED STUDENTS; LEARNING-DIFFICULTIES; CHILDREN; SCHOOLS; IDENTIFICATION; PERSPECTIVES; LEARNERS; EQUITY; ISSUES,"The paper provides a comprehensive conceptual model or framework for the identification and programming of gifted education in Lebanon. The model is evidence-based on the critical review of the literature on gifted education over the past two decades. The model discussed topics related to teacher conceptions, identification, preparation, and practices for the gifted in Lebanon. The development of a culturally appropriate conceptual model of gifted education is locally focused on Lebanese teachers' needs to identify and serve gifted Lebanese and gifted refugee learners. This framework provides a means for educational leaders in Lebanon to consider policy reforms that will benefit not only gifted learners but also gifted refugee learners in different educational settings.",0,0,Psychology
